#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:11:43       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:43       0      79430   C+G     33      6      -      -      -      -     32      0    mutter-devkit  
 22:11:43       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:45       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:45       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:45       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:45       0      79430   C+G     36      5      -      -      -      -     32      0    mutter-devkit  
 22:11:45       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:46       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:46       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:46       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:11:46       0      79430   C+G     35      5      -      -      -      -     32      0    mutter-devkit  
 22:11:46       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:47       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:47       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:47       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:47       0      79430   C+G     36      6      -      -      -      -     32      0    mutter-devkit  
 22:11:47       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:48       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:48       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:48       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:48       0      79430   C+G     35      5      -      -      -      -     32      0    mutter-devkit  
 22:11:48       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:49       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:49       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:49       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:49       0      79430   C+G     36      5      -      -      -      -     32      0    mutter-devkit  
 22:11:49       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:50       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:50       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:50       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:50       0      79430   C+G      -      -      -      -      -      -     32      0    mutter-devkit  
 22:11:50       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:51       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:51       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:51       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:51       0      79430   C+G     21      7      -      -      -      -     32      0    mutter-devkit  
 22:11:51       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:52       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:52       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:52       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:52       0      79430   C+G     18     10      -      -      -      -     32      0    mutter-devkit  
 22:11:52       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:53       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:53       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:53       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:53       0      79430   C+G     23      7      -      -      -      -     32      0    mutter-devkit  
 22:11:53       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:54       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:54       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:54       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:54       0      79430   C+G     28      5      -      -      -      -     32      0    mutter-devkit  
 22:11:54       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:55       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:55       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:11:55       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:55       0      79430   C+G     31      7      -      -      -      -     32      0    mutter-devkit  
 22:11:55       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:56       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:56       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:56       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:56       0      79430   C+G     33      6      -      -      -      -     32      0    mutter-devkit  
 22:11:56       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:57       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:57       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:57       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:57       0      79430   C+G     32      7      -      -      -      -     32      0    mutter-devkit  
 22:11:57       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:58       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:58       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:11:58       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:11:58       0      79430   C+G     31      6      -      -      -      -     32      0    mutter-devkit  
 22:11:58       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:00       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:00       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:00       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:00       0      79430   C+G      -      -      -      -      -      -     32      0    mutter-devkit  
